ROOM_ID	ROOM_TYPE
1	in-room
2	in-room
3	in-room
4	in-room
5	in-room
6	in-room
8	in-room
9	in-room
10	in-room
11	in-room
12	in-room
13	in-room
14	in-room
15	in-room
16	in-room
17	in-room
18	in-room
19	in-room
20	in-room
22	in-room
23	in-room
24	in-room
25	in-room
26	in-room
27	in-room
28	in-room
29	other
30	in-room
82	other
83	other
84	other
85	other
86	other
87	other
88	other
89	other
90	other
92	other
93	other
94	other
95	other
96	other
97	other
98	other
99	other
100	other
101	other
102	other
103	other
104	other
105	other
107	other
108	other
109	other
110	other
111	other
112	other
113	other
114	other
115	other
7	in-room
21	in-room
46	in-room
47	other
48	in-room
91	other
106	other
31	other
32	in-room
33	dining
34	in-room
35	dining
36	in-room
37	in-room
38	in-room
39	in-room
40	other
41	other
42	other
43	in-room
44	other
45	in-room
49	in-room
50	in-room
51	in-room
52	other
53	in-room
54	in-room
55	in-room
56	in-room
57	in-room
58	other
59	other
60	in-room
61	other
62	in-room
63	in-room
64	in-room
65	in-room
66	in-room
67	in-room
68	other
69	in-room
70	dining
71	other
72	other
73	other
74	other
75	other
76	other
77	other
78	other
79	other
80	other
81	other
